row_id,cow_id,age,stage,sex,date_birth,date_death,date_death_expected,is_owned,cause_removal,is_replacement,is_introduced,is_in_common_ranch,is_grazed,parity,date_last_delivery,date_got_pregnant,date_dried,n_ai,day_heat,day_last_heat,day_last_heat_detected,n_heat_from_ai,infection_status,date_ial,date_ipl,date_ipl_expected,date_ebl,date_ebl_expected,cause_infection,susceptibility_ial_to_ipl,susceptibility_ipl_to_ebl,area_id,months_in_area,chamber_id,is_isolated,i_month
13,13,97,milking,female,-63,,47,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,6,25,29,,0,18,26,26,0,s,,,,,,,FALSE,FALSE,2,-4,,FALSE,34
14,14,97,milking,female,-63,,53,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,6,29,33,,0,,16,16,0,s,,,,,,,FALSE,FALSE,2,-2,,FALSE,34
15,15,96,milking,female,-62,,61,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,6,25,29,,0,20,29,29,0,s,,,,,,,TRUE,FALSE,2,-2,,FALSE,34
18,18,85,milking,female,-51,,64,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,5,33,,,0,20,14,19,0,s,,,,,,,TRUE,TRUE,2,-3,,FALSE,34
20,20,80,milking,female,-46,,40,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,5,33,,-1,0,27,29,9,0,ial,6,,,,,insects,FALSE,FALSE,2,-1,,FALSE,34
21,21,78,dry,female,-44,,65,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,4,20,25,,0,,12,12,0,s,,,,,,,FALSE,FALSE,2,-6,,FALSE,34
22,22,78,milking,female,-44,,38,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,5,31,34,-1,0,,14,14,0,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,34
24,24,76,milking,female,-42,,94,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,5,33,,,0,6,12,27,0,ial,21,,,,,insects,FALSE,FALSE,2,-6,,FALSE,34
31,31,73,milking,female,-39,,36,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,4,27,30,,0,,3,3,0,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,34
32,32,72,milking,female,-38,,52,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,4,29,,-3,2,3,12,12,0,s,,,,,,,FALSE,FALSE,2,-3,,FALSE,34
36,36,65,dry,female,-31,,94,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,3,20,25,,0,13,24,24,0,s,,,,,,,FALSE,FALSE,2,-6,,FALSE,34
37,37,65,milking,female,-31,,53,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,4,34,,,0,30,1,4,0,ial,6,,,,,insects,FALSE,FALSE,2,-6,,FALSE,34
41,41,63,milking,female,-29,,0,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,3,23,27,,0,,11,11,0,ial,6,,,,,insects,FALSE,FALSE,2,-4,,FALSE,34
44,44,61,milking,female,-27,,36,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,3,26,30,,0,,11,11,0,s,,,,,,,FALSE,FALSE,2,-2,,FALSE,34
47,47,60,milking,female,-26,,51,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,3,26,29,,0,0,21,21,0,s,,,,,,,FALSE,FALSE,2,-1,,FALSE,34
49,49,58,milking,female,-24,,89,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,3,28,32,,0,14,24,24,0,s,,,,,,,TRUE,FALSE,2,12,,FALSE,34
51,51,56,milking,female,-22,,38,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,3,34,,,0,26,1,18,0,s,,,,,,,FALSE,FALSE,2,10,,FALSE,34
54,54,49,milking,female,-15,,76,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,31,,,0,30,1,16,0,s,,,,,,,FALSE,FALSE,2,3,,FALSE,34
55,55,49,milking,female,-15,,90,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,27,31,,0,15,24,24,0,s,,,,,,,TRUE,FALSE,2,3,,FALSE,34
56,56,48,milking,female,-14,,39,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,27,30,,0,,18,18,0,s,,,,,,,TRUE,FALSE,2,2,,FALSE,34
57,57,48,milking,female,-14,,111,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,27,,,2,18,25,16,2,s,,,,,,,FALSE,FALSE,2,2,,FALSE,34
58,58,47,milking,female,-13,,35,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,27,30,,0,0,23,23,0,s,,,,,,,FALSE,FALSE,2,1,,FALSE,34
60,60,46,milking,female,-12,,57,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,31,34,,0,0,1,1,0,ial,10,,97,,0,insects,TRUE,TRUE,2,0,,FALSE,34
62,62,44,milking,female,-10,,62,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,31,,,0,20,22,13,0,s,,,,,,,TRUE,FALSE,2,7,,FALSE,34
63,63,43,milking,female,-9,,69,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,2,32,,,0,19,9,15,0,s,,,,,,,TRUE,FALSE,2,6,,FALSE,34
64,64,40,dry,female,-6,34,34,FALSE,slaughtered,TRUE,FALSE,FALSE,FALSE,1,21,25,,0,0,14,14,0,s,,,,,,,FALSE,FALSE,2,3,,FALSE,34
66,66,39,milking,female,-5,,48,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,2,32,,,0,12,4,23,0,s,,,,,,,TRUE,FALSE,2,2,,FALSE,34
67,67,39,dry,female,-5,,57,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,20,28,,0,,3,3,0,s,,,,,,,FALSE,FALSE,2,2,,FALSE,34
68,68,38,dry,female,-4,,86,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,22,25,,0,21,30,30,0,s,,,,,,,FALSE,FALSE,2,1,,FALSE,34
69,69,37,dry,female,-3,,44,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,22,26,,0,,14,14,0,ial,33,,,,,insects,FALSE,FALSE,2,0,,FALSE,34
71,71,37,milking,female,-3,,80,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,23,26,,0,0,18,18,0,s,,,,,,,TRUE,FALSE,2,0,,FALSE,34
73,73,34,milking,female,0,,74,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,29,,,4,9,18,28,1,ial,34,,116,,,insects,TRUE,FALSE,2,6,,FALSE,34
,78,31,milking,female,3,,51,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,31,34,,0,0,24,24,0,s,,,,,,,FALSE,FALSE,2,,,,34
,79,31,milking,female,3,,82,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,27,32,,0,11,21,21,0,s,,,,,,,FALSE,FALSE,2,,,,34
,80,31,milking,female,3,,71,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,27,,,3,13,21,21,0,ial,30,,,,,insects,FALSE,FALSE,2,,,,34
,82,30,milking,female,4,,109,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,29,33,,0,0,27,27,0,s,,,,,,,FALSE,FALSE,2,,,,34
,85,30,milking,female,4,,70,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,29,32,,0,0,9,9,0,s,,,,,,,TRUE,FALSE,2,,,,34
,87,28,milking,female,6,,67,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,33,,,0,20,19,13,0,s,,,,,,,TRUE,TRUE,2,,,,34
,90,27,heifer,female,7,,53,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,26,,0,15,24,24,0,s,,,,,,,FALSE,FALSE,2,,,,34
,91,27,milking,female,7,,82,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,31,34,,0,,26,26,0,s,,,,,,,FALSE,FALSE,2,,,,34
,97,27,milking,female,7,,108,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,32,,,0,8,28,25,0,ial,34,,,,,insects,FALSE,FALSE,2,,,,34
,98,26,milking,female,8,,112,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,1,34,,,0,5,4,30,0,ial,9,,,,,insects,FALSE,FALSE,2,,,,34
,100,26,milking,female,8,,41,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,1,34,,,0,6,2,3,0,s,,,,,,,FALSE,FALSE,2,,,,34
,108,23,heifer,female,11,,90,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,25,,0,16,26,26,0,s,,,,,,,TRUE,FALSE,2,,,,34
,109,23,heifer,female,11,,81,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,26,,0,,6,6,0,s,,,,,,,FALSE,FALSE,2,,,,34
,110,23,heifer,female,11,,170,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,27,,0,,6,6,0,s,,,,,,,TRUE,FALSE,2,,,,34
,112,23,heifer,female,11,,91,TRUE,will_be_slaughtered,TRUE,FALSE,FALSE,FALSE,0,,26,,0,17,25,25,0,s,,,,,,,FALSE,FALSE,2,,,,34
,115,22,heifer,female,12,,102,TRUE,will_die,TRUE,FALSE,FALSE,FALSE,0,,26,,0,20,29,29,0,s,,,,,,,FALSE,FALSE,2,,,,34
